DATE,ZAFGDPDEFQISMEI
1960-01-01,0.720696596908101
1960-04-01,0.716711402131697
1960-07-01,0.713158166857847
1960-10-01,0.725469444588804
1961-01-01,0.724161848144879
1961-04-01,0.725107250695475
1961-07-01,0.732567192323729
1961-10-01,0.733040565987584
1962-01-01,0.727806399869558
1962-04-01,0.730804276867636
1962-07-01,0.732700946022076
1962-10-01,0.734696179452206
1963-01-01,0.748545407387004
1963-04-01,0.747876400412054
1963-07-01,0.762064563926074
1963-10-01,0.762571344650575
1964-01-01,0.769095070288767
1964-04-01,0.768980720856875
1964-07-01,0.768331074413803
1964-10-01,0.775283913417752
1965-01-01,0.79219309276541
1965-04-01,0.790365182280123
1965-07-01,0.795424666282965
1965-10-01,0.794952660707879
1966-01-01,0.808985238870494
1966-04-01,0.82287881201791
1966-07-01,0.830454035043884
1966-10-01,0.848764246732736
1967-01-01,0.842835218681497
1967-04-01,0.85894965179122
1967-07-01,0.870293195719853
1967-10-01,0.872312207141556
1968-01-01,0.885236375827017
1968-04-01,0.883660592764001
1968-07-01,0.899029900050406
1968-10-01,0.90749972206161
1969-01-01,0.939549110783259
1969-04-01,0.96384637311135
1969-07-01,0.962873953672948
1969-10-01,0.980236310528091
1970-01-01,0.983299603405398
1970-04-01,1.00011839328257
1970-07-01,1.00283182756653
1970-10-01,1.02499763166558
1971-01-01,1.01837601718539
1971-04-01,1.05322283372703
1971-07-01,1.07835831562215
1971-10-01,1.10263627930825
1972-01-01,1.14452098533048
1972-04-01,1.14385077403416
1972-07-01,1.19499506139398
1972-10-01,1.23858946017094
1973-01-01,1.30232124626117
1973-04-01,1.36464368801822
1973-07-01,1.43477444645949
1973-10-01,1.48644290393521
1974-01-01,1.54615347532436
1974-04-01,1.59326875673156
1974-07-01,1.62432962307622
1974-10-01,1.71948777832051
1975-01-01,1.77532649945608
1975-04-01,1.75017196004214
1975-07-01,1.82713710156084
1975-10-01,1.83235840361932
1976-01-01,1.87955757776972
1976-04-01,1.99893672884794
1976-07-01,2.00489480958974
1976-10-01,2.05340753502318
1977-01-01,2.08092678931203
1977-04-01,2.12999122910304
1977-07-01,2.26581160269773
1977-10-01,2.34552832779165
1978-01-01,2.34773531038624
1978-04-01,2.36170769451618
1978-07-01,2.5483247510301
1978-10-01,2.58795781870453
1979-01-01,2.71920823805939
1979-04-01,2.69926760410082
1979-07-01,2.8447992384925
1979-10-01,3.05973272739528
1980-01-01,3.45584593719914
1980-04-01,3.42579000005711
1980-07-01,3.60567424895209
1980-10-01,3.65670662389392
1981-01-01,3.79881046259494
1981-04-01,3.83822701721796
1981-07-01,3.91600128224242
1981-10-01,4.02486608639743
1982-01-01,4.13914263229792
1982-04-01,4.31846749889514
1982-07-01,4.53185191290805
1982-10-01,4.78260205664078
1983-01-01,4.98505833242287
1983-04-01,5.15364304391283
1983-07-01,5.26144831831732
1983-10-01,5.29068823619352
1984-01-01,5.52469545078797
1984-04-01,5.59710956062612
1984-07-01,5.90458208266635
1984-10-01,6.04759459538871
1985-01-01,6.37997708675686
1985-04-01,6.62355278051909
1985-07-01,6.82240617250818
1985-10-01,7.12575996463331
1986-01-01,7.37329073253283
1986-04-01,7.73713839599783
1986-07-01,8.06327845063414
1986-10-01,8.39400664231623
1987-01-01,8.65029489481747
1987-04-01,8.79856245961227
1987-07-01,9.19431036599205
1987-10-01,9.49420232789961
1988-01-01,9.868520643291
1988-04-01,10.2356766757417
1988-07-01,10.6154955417052
1988-10-01,10.8853712202954
1989-01-01,11.4174105740921
1989-04-01,12.1351918041396
1989-07-01,12.446437550338
1989-10-01,12.7924859552486
1990-01-01,13.4078534147274
1990-04-01,14.0524594661281
1990-07-01,14.2943299346384
1990-10-01,14.5896304219777
1991-01-01,15.3483770100959
1991-04-01,15.9491104867354
1991-07-01,16.6970058351545
1991-10-01,17.1720999883486
1992-01-01,17.7449660036112
1992-04-01,18.2551363297871
1992-07-01,18.9084510156376
1992-10-01,19.7772113556343
1993-01-01,19.9732729055256
1993-04-01,20.5158286896713
1993-07-01,21.046441771066
1993-10-01,21.5426838385603
1994-01-01,22.4376789185846
1994-04-01,22.5939172074106
1994-07-01,22.7397006252562
1994-10-01,23.4642671290364
1995-01-01,24.2769357839288
1995-04-01,24.8441904063064
1995-07-01,25.6131845642695
1995-10-01,26.398199732491
1996-01-01,26.4796924061933
1996-04-01,27.2073424824284
1996-07-01,27.5475295577328
1996-10-01,28.0010986940821
1997-01-01,28.6136863498626
1997-04-01,29.2057494086936
1997-07-01,29.8254268165168
1997-10-01,30.5021333852971
1998-01-01,30.8337973529896
1998-04-01,31.8749599292723
1998-07-01,32.2304017689643
1998-10-01,32.7569547296702
1999-01-01,33.1595430584594
1999-04-01,33.4615805632539
1999-07-01,34.668034409549
1999-10-01,35.1669998947233
2000-01-01,35.5284167422462
2000-04-01,36.7058192648878
2000-07-01,38.0543684427192
2000-10-01,38.687021196193
2001-01-01,39.2420621666991
2001-04-01,39.7103851270674
2001-07-01,40.3376812187138
2001-10-01,41.3430461090618
2002-01-01,43.6423701783679
2002-04-01,44.7813133397275
2002-07-01,45.7056333189017
2002-10-01,46.6103275440494
2003-01-01,47.2007541447334
2003-04-01,47.7885361207828
2003-07-01,48.2961586183806
2003-10-01,49.0540969705367
2004-01-01,50.0832790293262
2004-04-01,50.7113523909278
2004-07-01,51.0967587813559
2004-10-01,52.0441185540695
2005-01-01,52.6573242146481
2005-04-01,53.3818880388273
2005-07-01,54.0564601342277
2005-10-01,55.2469162746637
2006-01-01,55.1170063357735
