"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.46646469746693","6.93493938675523","6.25884359075901","4.52131422826697","4.79383700943719","6.55868209743302","5.03670603107431","4.0420744205663","6.99363266846713","6.86945474080552","6.3105680656522","4.19682387773933","10.7062639173757","10.904090739451","6.59945525167297","6.47918135827007","8.42512012010828","7.27118178359846","7.41991464597298","6.36717336274146","4.20028427916027","5.16510219309276","8.82058863272691","11.0518813967399","5.7151135893734","7.5513274416442","5.04742154835319","5.19248902776834","6.53134306168034","8.38650465779552","4.61151620476285","","","","",
"Africa Eastern and Southern","AFE","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0468971069496","-3.58511110954092","12.5579601455576","17.5429289290522","11.3640937400601","-1.24150600219686","7.17438724378046","9.78449593802674","14.3516893399556","12.2525481623247","17.5839381607368","12.1411782947912","","","","",
"Africa Western and Central","AFW","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-84.0950001791546","-93.5134588840176","-29.522706549011","4.04755887747496","-72.5785001611618","-60.7813270387995","-5.03293321688833","-33.5534024054014","1.12833550907278","36.6411290160783","17.799803581475","2.04299496946991","12.8373343636254","-5.72699956739724","38.975946691856","-7.34887140957809","-9.87641773345694","8.7647868203618","12.6107310616342","12.3805991919921","21.1441828381684","-4.92200655731416","-5.5526960598383","-6.49973921846974","-6.86647158769736","9.38945256484259","",
"Albania","ALB","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","3.50195315724536","1.00030915470921","1.00058436930792","0.996284183664403","1.43757004192621","-25.4690910606448","-63.7871204812071","-42.5735139522976","-8.96318219295577","8.80174501441422","-10.2869748364873","19.2994942972552","","19.110289296068","15.5754115979881","15.2617073964696","11.2464777841114","8.62387425770233","8.34605448013448","9.45550547587983","10.2087615821967","9.30474144287698","8.55052487177923","10.000747416439","7.97103659396286","9.88846223555399","9.73611207397717","9.51039749089083","6.32455753580755","7.27249241794098","7.41372325966381","4.70072680723231","4.39470533490248","4.99384849366133","6.59801835273473","",
"Andorra","AND","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.56602872006595","-7.77340523607891","-6.74819555440488","-5.48583918237899","-11.6006987702161","-1.31470878459509","-7.00603984304116","0.455892832330463","4.56440909873515","10.8219624756425","-7.50848954167921","",
"Armenia","ARM","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-24.9130577387047","39.1051682810329","30.9943494018688","34.1346115887574","38.7736674369924","33.3984630599644","21.7821520799662","18.347069280194","15.5169875894729","11.6248159998918","14.3161459394903","11.3814924574335","12.6947444611314","10.4349146525184","15.8708814402684","10.6076357898925","12.9197578932998","11.2811932906832","12.2168430436348","13.7812486601176","16.1800096730379","17.0423595080455","11.9973399575166","9.73397739946579","10.9595785635957","9.40704011582428","",
"American Samoa","ASM","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","-0.316966134319735","6.13042289262461","7.35309016251113","3.39698135358666","3.49138708036656","1.6197771684229","-2.66136758072909","5.79389249856366","8.84355925843437","9.78847140941505","9.99274919708806","10.6691687677123","9.59098631661549","10.0509232210533","9.01365355902035","9.97306100345138","9.87681288612708","10.4110577657675","10.4558431566967","9.99362771137099","10.6116383233639","13.8062707699227","10.2668142637818","6.63621147031828","10.4403515213545","6.46306558772329","5.79459179057404","8.08000916287343","9.3876761408781","9.79953139854016","7.95945311994109","11.0030464701126","8.0072745506121","6.61788471463213","7.5596847898227","10.3359724772332","6.47145424287028","8.38580317149492","5.83699667646201","",
"Australia","AUS","Real interest rate (%)","FR.INR.RINR","","2.20786311288796","5.58008009149615","3.27522673734654","1.72663533169224","2.26168053829422","2.62015586473715","0.483594712133408","3.25594188909196","1.07083848617015","1.68568783839836","1.95711048232239","0.779242485516423","-1.50550654330794","-6.0187486602764","-5.34938579977143","-3.59993137559282","-1.38626171712817","1.05167013072536","0.45493918966668","-0.0336465373182348","2.10347204646873","1.41450398137774","2.05026368827631","3.3752723174857","7.44046526319279","8.02602949157304","7.49807322247593","6.42243354003949","6.6019109101563","9.66219280900172","10.0673168784546","8.94482872550711","8.44987424494252","7.98450579365444","8.0465974781348","6.81736915399835","5.82570490264245","5.42974181901571","6.04959466705698","5.02997687687673","2.12638914429115","3.42942807773117","3.49984747011599","3.68549743796184","3.32480850833064","2.3706276973842","3.06089600731186","4.10435110017527","0.983437679304664","6.04335497000121","1.44126323003352","5.09471889327147","6.34143469956045","4.44409935543742","6.22995269969943","6.05457157271221","1.44624672111231","3.36901974205967","1.62660397649741","","",
"Austria","AUT","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
